x,n_regions_at_least,fitted_n_regions_at_least,reference_n_regions_at_least,in_fit,slope,k,lambda_analytic,match_probability,null,reference,mismatch_penalty,xdrop,n_queries,query_residues,database_kmers,bin_width
44.500,11,0.000,,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
45.000,10,0.000,,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
45.500,10,0.000,,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
46.000,7,0.000,,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
46.500,7,0.000,,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
47.000,5,0.000,,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
47.500,5,0.000,,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
48.000,4,0.000,,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
48.500,4,0.000,,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
49.000,4,0.000,,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
49.500,4,0.000,,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
50.000,4,0.000,,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
50.500,3,0.000,,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
51.000,3,0.000,,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
51.500,3,0.000,,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
52.000,3,0.000,,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
52.500,1,0.000,,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
53.000,1,0.000,,false,0.8264683926965516,0.01388558487985401,0.42782263924999075,0.5185214875668276,database,shuffled-dipeptide,2,8,200,59508,3876813,0.5
