x,n_regions_at_least,fitted_n_regions_at_least,reference_n_regions_at_least,in_fit,r_database,k,lambda_analytic,match_probability,null,reference,mismatch_penalty,xdrop,n_queries,query_residues,database_kmers,bin_width
17.000,1944,1233.684,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
17.500,1369,801.219,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
18.000,1042,520.354,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
18.500,793,337.946,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
19.000,640,219.480,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
19.500,472,142.542,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
20.000,366,92.574,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
20.500,277,60.123,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
21.000,225,39.047,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
21.500,167,25.359,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
22.000,142,16.470,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
22.500,119,10.696,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
23.000,84,6.947,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
23.500,63,4.512,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
24.000,46,2.930,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
24.500,35,1.903,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
25.000,28,1.236,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
25.500,22,0.803,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
26.000,15,0.521,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
26.500,11,0.339,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
27.000,9,0.220,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
27.500,7,0.143,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
28.000,2,0.093,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
28.500,2,0.060,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
29.000,2,0.039,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
29.500,1,0.025,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
30.000,1,0.016,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
30.500,1,0.011,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
31.000,1,0.007,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
31.500,1,0.005,,false,0.8632496698179053,0.012633718815393288,0.42782263924999075,0.5185214875668276,shuffled,,2,8,200,59508,3876813,0.5
